,geoid,Under 18,18 to 24 years,25-45 years,45-65 years,65 older,Male,White alone,Black or African American alone,American Indian and Alaska Native alone,Asian alone,Native Hawaiian and Other Pacific Islander alone,Some other race alone,Mixed Races,Estimate Management business science and arts,Estimate Service,Estimate Sales and office,Estimate Natural resources construction and maintenance,Estimate Production transportation and material moving,Median_income,Total
151,14000US27053026302,753,123,691,1164,670,1674,3314,22,0,16,0,0,98,906,289,288,113,131,105156,3401
152,14000US27053026402,918,338,2501,1417,1107,3185,4732,610,0,740,0,0,398,2121,502,741,121,281,57058,6281
153,14000US27053026403,501,246,921,794,835,1569,2567,263,15,387,0,54,22,950,230,272,80,177,65125,3297
154,14000US27053026404,1049,140,1342,1621,1259,2595,5074,122,28,115,0,43,58,2084,209,619,33,114,125827,5411
155,14000US27053026505,605,187,997,1034,747,1826,3073,170,0,226,0,0,202,1141,228,479,43,144,98828,3570
156,14000US27053026507,995,152,1696,1257,788,2253,4288,89,81,344,0,16,140,1607,323,811,96,291,77628,4888
157,14000US27053026508,829,190,1098,1547,1070,2179,4379,120,0,113,0,34,176,1722,215,696,74,106,99671,4734
158,14000US27053026509,956,270,1063,1656,573,2117,4120,113,0,60,0,75,300,1733,282,511,68,112,136674,4518
159,14000US27053026510,588,255,1020,1068,648,1473,3039,222,0,129,0,22,334,1091,219,544,151,149,72315,3579
160,14000US27053026511,878,509,1334,935,204,2049,2523,974,0,220,0,17,252,893,440,522,122,382,63009,3860
161,14000US27053026512,997,455,1609,2028,1123,3296,5489,165,36,303,3,143,146,1840,395,769,88,367,86023,6212
162,14000US27053026514,820,366,2110,951,582,2489,3787,122,0,685,0,0,470,1780,277,711,168,206,69908,4829
163,14000US27053026605,920,176,600,1172,755,1649,3076,32,6,456,0,0,106,1130,115,429,35,82,118665,3623
164,14000US27053026606,1364,284,1295,1446,688,2512,4555,156,0,274,0,0,184,1605,297,538,106,163,120405,5077
165,14000US27053026609,621,133,625,950,501,1448,2434,11,194,104,0,33,108,740,228,255,93,244,87485,2830
166,14000US27053026610,1052,268,1051,1415,844,2336,3936,231,66,109,0,80,416,1172,116,625,84,93,107472,4630
167,14000US27053026611,1080,502,1255,1361,763,2288,3936,293,0,294,0,0,876,1670,180,626,61,249,76915,4961
168,14000US27053026612,2959,492,3249,2815,1139,5019,8236,494,61,1528,25,32,556,3859,443,1280,200,251,122549,10654
169,14000US27053026613,3103,527,2542,2509,989,4920,5980,1051,71,2241,0,0,654,2983,263,1178,28,277,163313,9670
170,14000US27053026702,421,162,674,704,770,1235,2440,155,0,47,21,27,82,424,178,417,83,282,52930,2731
171,14000US27053026706,786,168,1079,1194,649,1878,3564,106,8,87,0,20,182,923,205,591,58,282,100434,3876
172,14000US27053026707,945,209,1480,1615,556,2425,4372,72,38,153,0,108,124,1416,361,749,241,313,96353,4805
173,14000US27053026708,1491,274,1424,1801,879,2915,5032,347,92,238,0,20,280,1286,377,844,230,333,75000,5869
174,14000US27053026710,2195,604,2830,2735,1305,4580,7835,654,0,996,0,35,298,2904,532,1342,176,538,91493,9669
175,14000US27053026711,683,121,970,940,402,1554,2740,163,1,15,0,65,264,596,194,548,85,320,75404,3116
176,14000US27053026712,731,175,950,928,594,1651,2798,306,32,80,0,18,288,858,345,407,91,171,75078,3378
177,14000US27053026713,762,281,1327,1460,596,2069,3964,184,0,122,0,11,290,1527,294,613,193,202,91618,4426
178,14000US27053026714,2578,425,2552,2949,1580,4592,8508,825,32,573,0,19,254,2970,579,1160,252,363,105513,10084
179,14000US27053026715,5259,637,4268,4672,1179,7724,12857,583,0,2028,0,97,900,5615,620,1896,123,385,145995,16015
180,14000US27053026716,2204,336,2146,2769,878,4076,7008,229,13,703,0,78,604,2878,486,1141,17,290,155833,8333
181,14000US27053026807,1309,441,1532,1548,870,2717,3285,1475,0,330,0,337,546,870,447,910,86,639,60179,5700
182,14000US27053026809,1924,417,2126,879,181,2473,1855,2309,230,643,0,421,138,367,1064,444,137,707,40440,5527
183,14000US27053026810,1635,540,1596,1218,514,2465,1936,2873,0,461,0,0,466,911,718,550,208,616,42122,5503
184,14000US27053026811,2046,326,1772,1205,671,2824,2528,1763,0,1279,0,129,642,1038,394,691,186,777,77009,6020
185,14000US27053026812,2252,507,2033,1695,856,3698,3878,1547,2,1733,0,0,366,1794,327,743,153,665,84263,7343
186,14000US27053026814,1763,470,2273,1754,606,3536,3034,1921,0,1384,0,124,806,980,1087,701,218,950,80426,6866
187,14000US27053026815,1453,422,1752,1462,509,2917,2594,1446,11,1283,22,106,272,1100,554,848,175,420,82100,5598
188,14000US27053026816,1794,721,1581,1550,875,3020,2492,2087,0,1675,0,0,534,1136,691,799,277,589,62674,6521
189,14000US27053026818,1602,289,1292,1195,551,2262,1783,1572,0,961,0,275,676,489,620,614,154,380,57333,4929
190,14000US27053026819,1638,598,1478,1033,285,2188,1362,2873,6,531,0,19,482,532,701,533,178,337,33562,5032
191,14000US27053026820,3362,881,3253,3421,1019,5792,7476,1489,39,2362,0,124,892,3647,611,1445,174,755,117702,11936
192,14000US27053026822,935,281,841,1566,950,2188,3212,591,0,586,47,30,214,1063,349,636,94,320,78345,4573
193,14000US27053026823,986,325,1037,1316,580,2123,2687,720,0,783,0,0,108,1072,237,511,185,212,106461,4244
194,14000US27053026903,1073,266,1225,1203,634,2235,3725,371,0,69,0,89,294,864,367,546,129,295,64417,4401
195,14000US27053026906,2265,518,1963,2538,819,3768,7117,582,0,235,0,0,338,1975,655,1344,370,423,88380,8103
196,14000US27053026907,1513,408,1092,2057,635,2851,4926,403,12,153,0,0,422,1771,354,671,118,195,108095,5705
197,14000US27053026908,1620,424,1590,2303,332,2982,5227,734,0,194,0,0,228,1743,674,895,282,368,91434,6269
198,14000US27053026909,4053,819,3248,3867,1441,6293,12237,9,1,942,0,0,478,3278,924,1956,428,517,125492,13428
199,14000US27053026910,1486,295,1272,1783,651,2976,4939,75,0,163,0,254,112,1317,297,713,307,413,96500,5487
200,14000US27053027001,941,216,722,1225,426,1731,3404,6,0,27,0,0,186,903,154,392,221,183,109500,3530
201,14000US27053027002,1481,337,1038,1868,871,2765,5197,242,3,19,0,50,168,1217,386,621,209,278,98547,5595
202,14000US27053027101,2077,352,1376,2323,809,3484,6220,18,16,517,0,0,332,1862,318,963,131,152,131607,6937
203,14000US27053027102,1345,323,1343,2026,738,3041,5316,17,0,378,0,22,84,1365,310,776,378,454,113051,5775
204,14000US27053027201,1670,359,1116,2249,1239,3571,6449,0,0,116,0,0,136,1675,273,827,237,188,156453,6633
205,14000US27053027202,396,78,411,606,277,922,1659,56,0,4,0,0,98,454,158,225,38,71,75769,1768
206,14000US27053027203,608,139,818,1315,963,1972,3629,69,0,32,9,0,208,1020,181,526,55,200,77361,3843
207,14000US27053027300,805,241,691,1416,1365,2069,4145,232,0,90,0,0,102,1089,217,528,136,130,83348,4518
208,14000US27053027400,1119,184,865,1389,714,2054,4187,3,11,54,0,16,0,1262,130,527,31,120,139904,4271
209,14000US27053027501,791,305,926,1645,892,2317,4319,53,3,43,16,60,130,1160,384,623,197,162,82841,4559
210,14000US27053027503,1211,211,724,1477,676,2162,4241,1,0,48,0,9,0,1190,228,489,135,106,119886,4299
211,14000US27053027504,835,207,450,1276,670,1739,3284,12,21,13,0,0,216,962,129,296,83,116,140833,3438
212,14000US27053027601,877,106,1145,1210,612,2020,3702,10,0,74,0,19,290,927,368,512,185,258,77404,3950
213,14000US27053027602,904,405,1387,2039,727,2900,5146,0,19,127,0,0,340,1419,531,637,214,474,92627,5462
214,14000US27053027700,2604,449,1922,3601,1051,4640,9107,87,9,281,0,14,258,2688,493,1436,457,489,138556,9627
215,14000US27053100200,648,218,1058,1224,446,1788,2033,1206,45,18,0,189,206,806,251,495,134,252,42246,3594
216,14000US27053100400,1050,257,980,688,194,1589,1105,1389,44,378,0,215,76,215,375,397,88,220,32750,3169
217,14000US27053100500,363,132,793,403,314,985,1641,173,29,56,0,18,176,593,132,223,90,150,56250,2005
218,14000US27053100700,908,145,950,901,222,1426,1363,1228,116,236,0,58,250,582,272,488,116,179,52706,3126
219,14000US27053100800,1217,451,1115,858,239,1771,1258,1856,23,601,0,15,254,452,301,384,161,417,41654,3880
220,14000US27053100900,1493,585,1416,1050,458,2778,1652,2108,48,835,0,24,670,535,676,265,85,501,45506,5002
221,14000US27053101200,822,307,1867,1077,603,2312,3880,201,86,149,0,149,422,1867,420,707,35,154,82460,4676
222,14000US27053101300,777,291,603,350,91,1047,422,973,2,326,0,185,408,200,294,176,51,140,46442,2112
223,14000US27053101600,862,237,691,625,145,1524,621,1228,51,379,0,169,224,215,277,264,48,218,32071,2560
224,14000US27053101800,954,293,1896,669,232,1953,2160,537,223,92,0,678,708,721,847,458,222,272,51893,4044
225,14000US27053101900,339,130,1067,577,471,1323,2114,146,90,106,0,67,122,835,280,248,77,73,48750,2584
226,14000US27053102000,794,282,941,591,188,1491,1041,1093,20,481,0,19,284,424,507,270,37,205,64740,2796
227,14000US27053102100,1178,331,842,319,80,1351,472,1179,0,685,0,113,602,256,278,214,28,225,39861,2750
228,14000US27053102300,408,64,417,375,199,810,238,819,12,282,0,9,206,251,67,120,16,59,19234,1463
229,14000US27053102500,430,204,1455,577,364,1412,1980,415,29,72,0,380,308,904,424,437,72,110,51328,3030
230,14000US27053102600,334,236,852,412,137,998,1415,277,38,52,0,86,206,468,330,218,79,154,62474,1971
231,14000US27053102800,1179,546,933,464,256,1795,543,1850,139,414,7,100,650,370,459,292,29,208,35078,3378
232,14000US27053102900,562,130,396,242,86,567,398,661,11,271,0,13,124,210,101,103,10,79,38438,1416
233,14000US27053103000,204,125,821,259,391,896,1366,131,0,135,0,99,138,589,203,286,31,71,72765,1800
234,14000US27053103100,262,160,902,568,210,1176,1580,369,0,36,0,61,112,662,243,167,49,95,33920,2102
235,14000US27053103400,1349,217,976,424,203,1466,334,2098,16,94,0,446,362,417,387,171,28,141,25881,3169
236,14000US27053103600,141,63,733,736,600,1037,1901,47,8,167,0,26,248,1107,171,190,21,7,95743,2273
237,14000US27053103700,358,1121,1735,646,336,2101,3269,429,62,244,0,13,358,1592,502,510,58,204,41482,4196
238,14000US27053103900,21,3375,298,82,37,2034,2820,359,11,426,0,39,316,877,796,386,48,175,23050,3813
239,14000US27053104000,618,2737,2096,766,197,3160,4629,592,82,958,0,39,228,2115,916,861,201,279,41446,6414
240,14000US27053104100,996,378,1261,624,368,1872,1715,930,68,459,0,117,676,500,548,422,127,264,46193,3627
241,14000US27053104400,98,230,986,736,99,1434,1367,452,22,197,6,10,190,834,209,183,35,67,61806,2149
242,14000US27053104800,2528,3637,2253,929,718,4961,3219,5146,36,1156,0,112,792,1465,1234,924,102,371,21082,10065
243,14000US27053104900,491,9349,1041,361,144,5789,7427,941,60,2398,0,119,882,1931,1361,1582,29,340,24176,11386
